uhhidfs,uhhidp,a2,a3,a4,a5b,hh_type,a13,a16,a16other
2195,1001142,Adjumani,NA,0,Adjumani_settlement,1,2,7,NA
3236,1000401,Adjumani,adjumani,0,Adjumani_settlement,1,1,7,NA
2892,1000031,Adjumani,Adjumani west,0,Adjumani_settlement,1,2,7,NA
2178,1002658,Adjumani,west adjumani,1,NA,0,2,7,NA
2169,1001707,Adjumani,adjumani east,1,NA,0,1,7,NA
2157,1001475,Adjumani,Adjumani east,0,Adjumani_settlement,1,2,7,NA
2149,1000390,Adjumani,Adjumani west,0,Adjumani_settlement,1,2,2,NA
590,1002342,Adjumani,West adjumani,1,NA,0,1,7,NA
2890,1002081,Adjumani,Adjumani east,1,NA,0,2,2,NA
2165,1001261,Adjumani,Adjumani east,1,NA,0,1,2,NA
2144,1000391,Adjumani,Adjumani west,0,Adjumani_settlement,1,2,2,NA
1395,1002900,Adjumani,Adjumani,1,NA,0,2,7,NA
1604,1000520,Adjumani,Adjumani west,0,Adjumani_settlement,1,2,7,NA
3245,1001989,Adjumani,adjumani east,1,NA,0,2,7,NA
3405,1001259,Adjumani,adjumani east,0,Adjumani_settlement,1,2,7,NA
2216,1000026,Adjumani,Adjumani,0,Adjumani_settlement,1,1,7,NA
2142,1000399,Adjumani,Adjumani west,0,Adjumani_settlement,1,2,2,NA
2159,1001495,Adjumani,Adjumani east,0,Adjumani_settlement,1,1,2,NA
3403,1001629,Adjumani,Adjumani,0,Adjumani_settlement,1,1,7,NA
2206,1001252,Adjumani,Adjumani,0,Adjumani_settlement,1,2,7,NA
2425,1000017,Adjumani,Adjumani west,0,Adjumani_settlement,1,2,7,NA
3241,1001974,Adjumani,adjumani east,1,NA,0,2,7,NA
2160,1001280,Adjumani,Adjumani east,0,Adjumani_settlement,1,2,2,NA
3233,1000397,Adjumani,Adjumani east,0,Adjumani_settlement,1,1,7,NA
1598,1001937,Adjumani,adjumani,1,NA,0,2,7,NA
2901,1000007,Adjumani,Adjumani west,0,Adjumani_settlement,1,1,2,NA
2900,1000005,Adjumani,Adjumani west,0,Adjumani_settlement,1,2,6,Depend on ration food
1388,1001708,Adjumani,Adjumani,0,Adjumani_settlement,1,2,7,NA
2156,1001235,Adjumani,Adjumani east,0,Adjumani_settlement,1,2,2,NA
2182,1001502,Adjumani,adjumani east,1,NA,0,2,7,NA
1398,1000649,Adjumani,Adjumani,0,Adjumani_settlement,1,2,7,NA
1593,1001929,Adjumani,adjumani,1,NA,0,1,7,NA
892,1000849,Adjumani,adjumani,0,Adjumani_settlement,1,2,7,NA
2393,1000043,Adjumani,adjumani west,0,Adjumani_settlement,1,2,7,NA
2780,1000720,Adjumani,West adjumani,0,Adjumani_settlement,1,2,7,NA
2905,1000074,Adjumani,Adjumani west,0,Adjumani_settlement,1,1,6,Depend on relief aid
2775,1001682,Adjumani,Adjumani west,1,NA,0,2,7,NA
908,1001709,Adjumani,Adjumani,0,Adjumani_settlement,1,2,7,NA
2194,1001143,Adjumani,Adjumani,0,Adjumani_settlement,1,1,7,NA
890,1002989,Adjumani,Adjumani,1,NA,0,1,2,NA
2193,1000385,Adjumani,adjumani east,0,Adjumani_settlement,1,1,7,NA
2162,1001380,Adjumani,Adjumani east,1,NA,0,1,2,NA
3231,1002909,Adjumani,NA,1,NA,0,1,7,NA
2891,1002071,Adjumani,Adjumani east,1,NA,0,1,2,NA
2781,1000748,Adjumani,Adjumani west,0,Adjumani_settlement,1,2,6,Depend on cash grant of WFP
2203,1001992,Adjumani,Adjumani,1,NA,0,1,7,NA
2186,1001136,Adjumani,adjumani east,0,Adjumani_settlement,1,1,1,NA
2424,1000004,Adjumani,Adjumani west,0,Adjumani_settlement,1,2,7,NA
2792,1001690,Adjumani,Adjumani,1,NA,0,2,7,NA
3244,1001972,Adjumani,adjumani east,1,NA,0,2,7,NA
1385,1001730,Adjumani,Adjumani,0,Adjumani_settlement,1,1,7,NA
2790,1001705,Adjumani,Adjumani,1,NA,0,1,7,NA
2207,1001244,Adjumani,Adjumani,0,Adjumani_settlement,1,2,7,NA
2426,1000009,Adjumani,Adjumani west,0,Adjumani_settlement,1,2,7,NA
1392,1002901,Adjumani,Adjumani,1,NA,0,2,7,NA
889,1002990,Adjumani,Adjumani,1,NA,0,2,2,NA
374,1000889,Adjumani,NA,0,Adjumani_settlement,1,1,7,NA
2782,1000719,Adjumani,Adjumani west,0,Adjumani_settlement,1,2,6,Depend on cash grant of UN
1600,1001134,Adjumani,adjumani,0,Adjumani_settlement,1,2,7,NA
38,1001683,Adjumani,Adjumani,1,NA,0,1,7,NA
2896,1000039,Adjumani,Adjumani west,0,Adjumani_settlement,1,2,2,NA
3249,1000082,Adjumani,adjumani West,0,Adjumani_settlement,1,1,7,NA
2898,1000008,Adjumani,Adjumani west,0,Adjumani_settlement,1,2,7,NA
2392,1000032,Adjumani,adjumani west,0,Adjumani_settlement,1,2,7,NA
3251,1000078,Adjumani,adjumani West,0,Adjumani_settlement,1,1,7,NA
2139,1000712,Adjumani,Adjumani west,0,Adjumani_settlement,1,2,7,NA
1393,1002903,Adjumani,Adjumani,1,NA,0,2,7,NA
1596,1001931,Adjumani,NA,1,NA,0,2,7,NA
2166,1001379,Adjumani,Adjumani east,1,NA,0,1,2,NA
1609,1000394,Adjumani,Adjumani west,0,Adjumani_settlement,1,1,7,NA
3254,1000075,Adjumani,adjumani West,0,Adjumani_settlement,1,1,7,NA
869,1001080,Adjumani,adjumani,0,Adjumani_settlement,1,2,7,NA
1607,1000598,Adjumani,Adjumani west,0,Adjumani_settlement,1,1,7,NA
3088,1002162,Adjumani,adjumani west,1,NA,0,2,7,NA
2164,1001386,Adjumani,Adjumani east,1,NA,0,1,2,NA
1602,1001135,Adjumani,adjumani east,0,Adjumani_settlement,1,2,7,NA
2370,1000027,Adjumani,Adjumani,0,Adjumani_settlement,1,1,7,NA
1599,1001138,Adjumani,adjumani east,0,Adjumani_settlement,1,2,2,NA
1590,1002350,Adjumani,adjumani,1,NA,0,1,7,NA
