uhhidfs,uhhidp,d1_1,d1_2,d1_3,d1_4,d1_5,d1_6,d1_7,d1_13,d1_14,d1_8,d1_9,d1_10,d1_11,d1_12,d2,d2other,d3,d3other,d4,d4other,d5,d6
2195,1001142,0.1,0.2,0.3,0.3,3,0.1,0.5,3,35,25,25,0.5,0.5,25,1,NA,4,NA,4,NA,8,6
3236,1000401,2,8,14,2,8,0.001,2,8,99,14,14,8,0.2,14,1,NA,4,NA,4,NA,30,6
2892,1000031,2,999,2,5,3,0.5,2,2,999,999,999,6,2,999,2,NA,2,NA,2,NA,10,6
2178,1002658,0.5,2,3,1.5,2,2,2,2,12,30,4,2,1,3,2,NA,4,NA,9,NA,60,2
2169,1001707,3,6,6,999,6,2,6,6,999,999,999,6,2,3,2,NA,4,NA,9,NA,15,2
2157,1001475,0.5,3,0.5,0.5,3,0.1,0.4,5,999,999,999,0.3,0.3,999,1,NA,2,NA,2,NA,4,4
2149,1000390,0.3,5,0.3,5,5,0.3,0.3,5,999,999,999,5,0.3,5,2,NA,4,NA,4,NA,10,4
590,1002342,0.8,6,1,38,1,1,0.9,0.9,999,999,999,6,1,999,2,NA,4,NA,4,NA,25,6
2890,1002081,4,4.5,4,4.5,4.5,5,4.5,4.5,999,999,999,4.5,4.5,4.5,1,NA,9,NA,9,NA,60,6
2165,1001261,3,5,3,5,5,3,4,7,999,999,999,4,4,999,1,NA,3,NA,3,NA,60,6
2144,1000391,0.3,5,0.3,0.3,5,0.3,0.3,5.5,999,999,999,5,0.3,5,1,NA,4,NA,4,NA,4,4
1395,1002900,3,5,7,7,5,4,4,4,999,4,4,3,0.05,2,5,NA,4,NA,9,NA,15,4
1604,1000520,0.5,6,0.5,999,4,0.5,0.02,0.02,999,999,999,0.02,0.02,999,2,NA,4,NA,4,NA,6,7
3245,1001989,1,3,1,2,2,0.5,0.5,0.5,25,3,4,0.5,0.5,3,5,NA,4,NA,4,NA,10,4
3405,1001259,1,3,0.5,0.5,4,0.2,0.6,16,999,25,25,0.6,0.5,25,1,NA,4,NA,4,NA,20,4
2216,1000026,2,4,5,5,3,1,2,2,999,999,999,6,0.04,2,5,NA,4,NA,9,NA,7,3
2142,1000399,0.3,4,0.3,0.3,4,0.3,0.3,4,999,999,999,4,0.3,4,1,NA,4,NA,4,NA,4,2
2159,1001495,0.2,5,0.3,0.2,5,0.1,0.2,5,999,999,999,0.2,0.2,999,1,NA,2,NA,2,NA,15,4
3403,1001629,0.5,5,5,11,2,2,2,2,30,15,15,2,2,15,5,NA,4,NA,4,NA,20,7
2206,1001252,0.5,0.5,1,1,3,0.5,1,1,999,999,999,1,0.05,2,5,NA,4,NA,9,NA,12,3
2425,1000017,0.5,4,4,5,0.5,0.3,0.1,0.1,999,5,999,0.4,0.1,5,8,NA,4,NA,4,NA,30,6
3241,1001974,2.5,2.5,2,2,2,0.5,1.5,1.5,999,4,7,1.5,1,7,1,NA,4,NA,4,NA,50,6
2160,1001280,0.2,5,0.3,0.1,5,0.1,0.2,5,999,999,999,0.2,0.2,5,2,NA,2,NA,2,NA,4,2
3233,1000397,2,8,2,8,8,0.3,2,8,999,14,14,8,0.1,14,5,NA,4,NA,4,NA,10,1
1598,1001937,1,0.6,1,1,1,0.5,0.4,0.4,8,3,3,0.4,0.4,3,2,NA,4,NA,4,NA,35,2
2901,1000007,0.5,7,0.5,2,1,0.5,0.1,0.5,999,999,999,7,0.5,7,1,NA,2,NA,2,NA,2,4
2900,1000005,0.5,9,0.3,4,2,1.5,0.3,0.3,999,999,999,7,0.3,7,2,NA,2,NA,2,NA,6,6
1388,1001708,0.5,2,999,0.5,1,1,0.5,0.5,6,999,1,999,0.02,1,5,NA,4,NA,3,NA,0.5,2
2156,1001235,0.1,4,2,0.5,5,0.1,1,1,999,999,999,1,1,999,1,NA,2,NA,2,NA,14,4
2182,1001502,3,3,3.2,15,3.3,1,3.2,3.2,15,4,5,3.2,0.1,5,1,NA,4,NA,9,NA,50,6
1398,1000649,2,3,2,2,1,2,0.5,0.5,5,999,2,999,0.02,2,5,NA,4,NA,9,NA,20,3
1593,1001929,1,1,1,1,1,0.5,0.5,0.5,5,3,3,0.5,1.2,3,2,NA,4,NA,2,NA,2,6
892,1000849,1,4,1,4,2,0.3,1,1,999,999,999,1,1,0.4,1,NA,2,NA,4,NA,10,4
2393,1000043,0.5,5,0.5,5,1,0.4,0.5,0.5,5,4,4,0.4,1,5,2,NA,4,NA,4,NA,15,2
2780,1000720,0.06,0.5,0.07,999,0.07,0.5,0.5,0.5,999,999,999,0.5,0.5,999,5,NA,4,NA,4,NA,30,6
2905,1000074,0.2,999,0.3,4,0.3,1,0.4,0.4,999,999,999,7,0.4,7,1,NA,2,NA,2,NA,2,4
2775,1001682,0.15,7,1,13,7,0.3,6,6,999,999,999,6,6,15,2,NA,4,NA,4,NA,30,7
908,1001709,0.5,2,1.5,1.5,1,1,0.5,0.5,1,999,0.02,999,0.02,0.5,5,NA,4,NA,10,NA,6,2
2194,1001143,0.1,0.5,1,1,2,0.5,1,3,999,30,25,1,1,25,5,NA,4,NA,4,NA,10,4
890,1002989,4,4,4.5,4.5,5,4,2,4,999,999,999,4.5,4.5,1,7,NA,4,NA,4,NA,45,7
2193,1000385,2,8,2,8,8,0.2,2,8,999,14,14,8,0.001,14,1,NA,4,NA,4,NA,30,7
2162,1001380,4,8,4,4,8,3,4,2,999,999,999,4,4,999,1,NA,4,NA,9,NA,60,6
3231,1002909,0.5,4,0.5,7,0.5,0.5,0.5,15,25,7,7,0.5,0.5,7,1,NA,4,NA,4,NA,10,7
2891,1002071,2,2.5,2,2.5,2.5,3,2.5,2.5,999,999,999,2.5,2.5,3,7,NA,9,NA,9,NA,60,6
2781,1000748,1,1,0.1,999,0.1,0.1,0.5,0.5,999,999,999,0.5,0.5,999,2,NA,4,NA,4,NA,40,7
2203,1001992,0.5,1,5,5,5,2,5,5,999,999,6,5,5,5,5,NA,4,NA,9,NA,5,3
2186,1001136,0.2,0.3,0.5,5,5,0.2,5,0.5,25,25,25,0.5,0.5,25,1,NA,4,NA,4,NA,40,4
2424,1000004,0.4,4,4,5,4,0.2,0.2,0.2,999,4,999,0.2,0.2,4,5,NA,4,NA,4,NA,20,7
2792,1001690,0.5,12,2.5,2.5,12,1,3,3,999,999,999,3,0.02,2,5,NA,4,NA,13,NA,20,3
3244,1001972,2,8,2,8,8,1.5,3,8,999,14,14,8,1.5,14,1,NA,4,NA,4,NA,40,6
1385,1001730,0.5,1,0.5,0.5,1,0.5,0.5,0.5,999,999,0.5,999,0.02,1,5,NA,4,NA,3,NA,10,2
2790,1001705,0.8,20,4,4,15,2,2,3,999,999,999,3,0.05,2,5,NA,4,NA,9,NA,20,3
2207,1001244,0.5,0.5,0.5,0.5,1,0.2,1,1,999,999,999,1,0.02,1,5,NA,4,NA,9,NA,15,3
2426,1000009,1,5,2,5,1,0.05,0.4,0.4,999,999,999,0.2,0.3,999,8,NA,4,NA,4,NA,20,7
1392,1002901,3,4,2,2,1,1,3,3,5,5,5,999,0.5,4,5,NA,9,NA,9,NA,30,2
889,1002990,3,3,5,5,6,5,2,6,999,999,999,5,2,3,1,NA,4,NA,9,NA,20,6
374,1000889,1,3,2,40,3,0.5,1,1,999,999,999,1,1,999,5,NA,4,NA,4,NA,30,2
2782,1000719,0.02,1,0.3,999,0.3,2,1,1,999,999,999,1,1,999,2,NA,4,NA,4,NA,2,7
1600,1001134,0.4,0.5,0.1,5,0.2,0.2,0.1,0.4,5,5,5,0.1,0.24,5,2,not available,4,NA,4,NA,5,2
38,1001683,1,8,2.5,2.5,12,1,2,2,999,999,999,3,0.05,2,5,NA,4,NA,9,NA,10,3
2896,1000039,1.5,6,1.5,2,2,0.4,1.5,1.5,999,999,999,6,1.5,6,1,NA,2,NA,2,NA,4,4
3249,1000082,1,5,0.5,3,0.5,0.2,1,1,999,5,5,1,0.01,7,1,NA,2,NA,2,NA,20,7
2898,1000008,0.5,6,0.3,2,2,1,0.2,0.2,999,999,999,6,0.2,6,1,NA,2,NA,2,NA,10,4
2392,1000032,2,5,1,4,2,1,1,1,5,4,4,1,1,3,2,NA,4,NA,4,NA,15,2
3251,1000078,1,8,1,4,2,1,2,2,999,8,8,2,2,8,1,NA,2,NA,2,NA,5,6
2139,1000712,0.3,2.5,2,0.3,0.3,0.3,2,2,999,999,999,2,2,0.2,1,NA,4,NA,4,NA,4,6
1393,1002903,3,4,5,5,4,2,2,2,6,4,4,999,0.5,3,5,NA,9,NA,9,NA,20,2
1596,1001931,0.8,0.5,0.5,1,1,1,0.3,0.3,6,8,8,0.3,0.1,8,2,NA,4,NA,4,NA,60,2
2166,1001379,5,6,5,5,6,2,5,8,999,999,999,5,5,999,1,NA,4,NA,9,NA,40,6
1609,1000394,0.1,8,0.1,999,7,0.2,0.5,0.5,999,999,999,8,1,999,1,NA,4,NA,4,NA,4,6
3254,1000075,1,6,1.5,3,2,0.5,1.5,1.5,99,7,7,1.5,1.5,7,1,NA,2,NA,2,NA,30,6
869,1001080,0.6,1,1.5,1.5,2.5,0.6,0.7,0.7,20,2,2.5,5.5,1,2.5,2,NA,2,NA,4,NA,15,2
1607,1000598,0.2,7,0.2,999,5,0.2,0.15,0.15,999,999,999,5,0.15,999,7,NA,4,NA,4,NA,20,6
3088,1002162,1,2.5,7,5,5,0.5,0.6,0.6,15,6,6,5,1,6,2,NA,4,NA,4,NA,30,7
2164,1001386,5,5.5,5,5,6,2,4,8,999,999,999,4,4,999,5,NA,3,NA,9,NA,60,6
1602,1001135,1,1,1.2,3,3,2,0.8,0.8,5,6,6,0.8,0.3,6,1,NA,4,NA,4,NA,50,2
2370,1000027,3,7,3,3,2,1,2,2,999,999,999,6,0.05,3,5,NA,4,NA,9,NA,15,3
1599,1001138,0.8,1,0.5,35,12,0.4,0.4,0.4,12,5,5,0.4,0.2,5,1,NA,4,NA,9,NA,40,6
1590,1002350,2,3,2,8,2,1,3,3,3,3,6,1,2,5,1,NA,4,NA,4,NA,45,6
865,1001082,0.05,1,0.5,30,1,0.3,0.2,0.3,30,6,6,6,1,6,2,NA,2,NA,4,NA,30,2
1589,1002351,2,3,1,4,2,1,1,1,1,6,6,1,1,5,1,NA,4,NA,9,NA,50,6
587,1002336,1,3,3,29,1,1,5,5,999,3,38,5,0.5,3,1,NA,4,NA,4,NA,7,7
1580,1003022,2,7,0.2,32,1.5,1,1,1,36,10,10,7,3,10,2,NA,4,NA,9,NA,10,2
1586,1002349,1,2,1,3,3,1,3,3,38,5,5,3,0.5,5,7,NA,4,NA,4,NA,15,7
2217,1000019,4,6,2,2,3,1,2,2,999,999,0.5,999,0.05,1,5,NA,4,NA,9,NA,8,3
1400,1000653,4,3,3,4,2,1,0.5,0.5,999,999,2,999,0.02,1,5,NA,4,NA,9,NA,30,4
1578,1003019,1,4,0.5,30,1,1,1,1,30,12,12,6,2,12,2,NA,4,NA,9,NA,20,6
1577,1003027,1,4,0.5,30,0.8,1,1,1,1,8,8,3,2,6,2,NA,4,NA,9,NA,15,2
2138,1000700,1.3,2,1,0.2,0.2,0.1,0.3,0.3,999,999,999,0.3,0.3,0.2,5,NA,4,NA,4,NA,10,4
2151,1003009,5,5,4.5,5,5,5,4.5,4.5,999,999,999,4.5,4.5,0.5,5,NA,4,NA,4,NA,20,6
2427,1000025,0.1,4,4,6,5,0.3,0.1,0.1,999,999,999,0.1,0.1,6,5,NA,4,NA,4,NA,2,2
896,1000833,1.5,7,7,7,4,1,2,2,999,999,999,2,2,0.5,1,NA,2,NA,4,NA,15,7
2788,1001691,0.5,10,8,8,5,0.5,5,5,999,999,999,8,0.02,0.5,5,NA,4,NA,9,NA,10,3
2199,1002091,4,4,4,4,4,1,4,4,999,999,999,3,0.5,3,5,NA,4,NA,9,NA,8,4
373,1000890,0.5,2,1,20,1,0.5,0.5,0.5,999,38,38,0.5,0.5,38,1,NA,4,NA,4,NA,3,6
2888,1000041,2,9,1.5,4,4,0.5,1.5,1.5,999,999,999,9,1.5,9,2,NA,2,NA,2,NA,4,4
2146,1000522,1,6,1,1.2,6,1,1,5.5,999,999,999,999,1,1.5,1,NA,4,NA,4,NA,30,6
1585,1000661,0.5,2,0.3,20,1.5,0.3,0.2,0.3,30,6,6,0.3,0.1,7,1,NA,4,NA,13,go to block b borehole of mungula 1,30,6
1387,1002031,3,7,7,999,7,3,7,7,999,999,999,7,2,5,1,NA,9,NA,9,NA,15,1
894,1000851,1.5,5,1,5,2,0.5,2,2,999,999,999,2,1.5,2,1,NA,2,NA,4,NA,2,4
3404,1000529,0.5,0.2,0.2,0.2,0.2,0.1,0.3,999,999,3,3,0.2,0.2,3,1,NA,4,NA,4,NA,60,7
1579,1003026,1,2,0.3,30,0.3,0.3,0.3,0.3,30,6,6,2,0.2,6,1,NA,4,NA,10,NA,15,6
2143,1000400,1.5,8,1,1.5,8,0.5,1,6,999,999,999,8,1.5,2,1,NA,4,NA,4,NA,10,2
3246,1001234,0.2,1,0.5,0.5,4,0.2,1,1,99,25,25,0.5,0.1,25,1,NA,4,NA,4,NA,20,1
1384,1000656,2,7,3,999,7,2,3,3,999,999,999,7,2,1,2,NA,4,NA,4,NA,20,6
3234,1000383,2,8,2,8,8,0.3,2,8,45,14,14,8,0.001,14,1,NA,4,NA,4,NA,5,6
1605,1000521,0.3,6,0.3,999,4,0.01,0.1,0.1,999,999,999,4,0.1,999,5,NA,4,NA,4,NA,6,6
1582,1000658,0.5,1,0.3,10,0.3,0.4,0.4,0.4,30,4,4,0.4,0.1,5,2,NA,4,NA,2,No other,15,2
1592,1003006,4,5,8,9,3,2,9,9,9,5,5,5,1,6,1,NA,4,NA,9,NA,90,6
2777,1002337,2,4,2,999,1,0.5,3,3,999,12,999,4,3,999,2,NA,4,NA,4,NA,30,6
1603,1000599,0.2,7,0.5,999,1,0.2,0.1,0.1,999,999,999,0.1,0.1,999,2,NA,4,NA,4,NA,9,3
2369,1000018,2,999,1,1,2,0.5,2,2,999,999,999,999,0.05,1,4,NA,4,NA,9,NA,10,2
