uhhidfs,uhhidp,g1a_1,g1a_2,g1a_3,g1a_4,g1a_5,g1a_6,g1a_7,g1a_8,g1a_9,g1a_10,g1a_17,g1a_11,g1a_12,g1a_13,g1a_14,g1a_15,g1a_16,g1b_1,g1b_2,g1b_3,g1b_4,g1b_5,g1b_6,g1b_7,g1b_8,g1b_9,g1b_10,g1b_17,g1b_11,g1b_12,g1b_13,g1b_14,g1b_15,g1b_16,g1c_1,g1c_2,g1c_3,g1c_4,g1c_5,g1c_6,g1c_7,g1c_8,g1c_9,g1c_10,g1c_17,g1c_11,g1c_12,g1c_13,g1c_14,g1c_15,g1c_16,g1d_1,g1d_2,g1d_3,g1d_4,g1d_5,g1d_6,g1d_7,g1d_8,g1d_9,g1d_10,g1d_17,g1d_11,g1d_12,g1d_13,g1d_14,g1d_15,g1d_16,g1e_1,g1e_11,g1e_12,g1e_13,g1e_14,g1e_1other,g1e_1a,g1e_1b,g1e_1c,g1e_1d,g1e_2,g1e_21,g1e_22,g1e_23,g1e_24,g1e_2other,g1e_2a,g1e_2b,g1e_2c,g1e_2d,g1e_3,g1e_31,g1e_32,g1e_33,g1e_34,g1e_3other,g1e_3a,g1e_3b,g1e_3c,g1e_3d,g1e_4,g1e_41,g1e_42,g1e_43,g1e_44,g1e_4other,g1e_4a,g1e_4b,g1e_4c,g1e_4d,g1e_5,g1e_51,g1e_52,g1e_53,g1e_54,g1e_5other,g1e_5a,g1e_5b,g1e_5c,g1e_5d,g1e_6,g1e_61,g1e_62,g1e_63,g1e_64,g1e_6other,g1e_6a,g1e_6b,g1e_6c,g1e_6d,g1e_7,g1e_71,g1e_72,g1e_73,g1e_74,g1e_7other,g1e_7a,g1e_7b,g1e_7c,g1e_7d,g1e_8,g1e_81,g1e_82,g1e_83,g1e_84,g1e_8other,g1e_8a,g1e_8b,g1e_8c,g1e_8d,g1e_9,g1e_91,g1e_92,g1e_93,g1e_94,g1e_9other,g1e_9a,g1e_9b,g1e_9c,g1e_9d,g1e_10,g1e_101,g1e_102,g1e_103,g1e_104,g1e_10a,g1e_10b,g1e_10c,g1e_17,g1e_171,g1e_172,g1e_173,g1e_174,g1e_17other,g1e_17a,g1e_17b,g1e_17c,g1e_17d,g1e_111,g1e_112,g1e_113,g1e_114,g1e_11other,g1e_11a,g1e_11b,g1e_11c,g1e_11d,g1e_121,g1e_122,g1e_123,g1e_124,g1e_12a,g1e_12b,g1e_12c,g1e_131,g1e_132,g1e_133,g1e_134,g1e_13other,g1e_13a,g1e_13b,g1e_13c,g1e_13d,g1e_141,g1e_142,g1e_143,g1e_144,g1e_14other,g1e_14a,g1e_14b,g1e_14c,g1e_14d,g1e_15,g1e_151,g1e_152,g1e_153,g1e_154,g1e_15other,g1e_15a,g1e_15b,g1e_15c,g1e_15d,g1e_16,g1e_161,g1e_162,g1e_163,g1e_164,g1e_16other,g1e_16a,g1e_16b,g1e_16c,g1e_16d,g1f_1,g1f_11,g1f_12,g1f_13,g1f_14,g1f_15,g1f_16,g1f_1other,g1f_2,g1f_21,g1f_22,g1f_23,g1f_24,g1f_25,g1f_26,g1f_2other,g1f_3,g1f_31,g1f_32,g1f_33,g1f_34,g1f_35,g1f_36,g1f_3other,g1f_4,g1f_41,g1f_42,g1f_43,g1f_44,g1f_45,g1f_46,g1f_4other,g1f_5,g1f_51,g1f_52,g1f_53,g1f_54,g1f_55,g1f_56,g1f_5other,g1f_6,g1f_61,g1f_62,g1f_63,g1f_64,g1f_65,g1f_66,g1f_6other,g1f_7,g1f_71,g1f_72,g1f_73,g1f_74,g1f_75,g1f_76,g1f_7other,g1f_8,g1f_81,g1f_82,g1f_83,g1f_84,g1f_85,g1f_86,g1f_8other,g1f_9,g1f_91,g1f_92,g1f_93,g1f_94,g1f_95,g1f_96,g1f_9other,g1f_10,g1f_101,g1f_102,g1f_103,g1f_104,g1f_105,g1f_106,g1f_17,g1f_171,g1f_172,g1f_173,g1f_174,g1f_175,g1f_176,g1f_17other,g1f_111,g1f_112,g1f_113,g1f_114,g1f_115,g1f_116,g1f_11other,g1f_121,g1f_122,g1f_123,g1f_124,g1f_125,g1f_126,g1f_131,g1f_132,g1f_133,g1f_134,g1f_135,g1f_136,g1f_13other,g1f_141,g1f_142,g1f_143,g1f_144,g1f_145,g1f_146,g1f_14other,g1f_151,g1f_152,g1f_153,g1f_154,g1f_155,g1f_156,g1f_15other,g1f_161,g1f_162,g1f_163,g1f_164,g1f_165,g1f_166,g1f_16other
13,1000603,1,0,1,0,0,1,0,0,0,0,0,1,0,0,1,1,1,7,0,7,0,0,3,0,0,0,0,0,4,0,0,2,7,7,6,NA,6,NA,NA,3,NA,NA,NA,NA,NA,5,NA,NA,5,6,5,0,0,0,0,0,0,0,0,0,0,0,8000,0,0,4000,0,2800,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,0,NA,90,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,0,NA,80,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,0,0,0,NA,90,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,0,0,0,NA
14,3001621,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,1,7,3,7,4,2,4,0,0,0,0,0,0,0,0,0,7,7,6,1,6,2,7,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1400,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,0,0,0,NA,95,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,0,0,0,NA
15,1002553,1,1,1,1,0,1,0,0,0,1,0,1,0,0,0,0,1,7,5,5,2,0,6,0,0,0,1,0,5,0,0,0,0,7,6,1,1,4,NA,1,NA,NA,NA,5,NA,5,NA,NA,NA,NA,5,0,0,0,0,0,0,0,0,0,12000,0,16000,0,0,0,0,6000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,0,1,0,0,NA,95,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,0,0,NA,25,75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,0,0,0,NA,90,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,0,1,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,1,1,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,0,0,0,NA
16,3000876,1,1,1,0,1,1,0,0,0,0,0,1,0,0,0,1,1,6,3,5,0,4,5,0,0,0,0,0,4,0,0,0,7,7,6,1,6,NA,1,6,NA,NA,NA,NA,NA,5,NA,NA,NA,6,5,0,0,0,0,0,0,0,0,0,0,0,8000,0,0,0,0,1400,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,0,0,NA,80,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,0,0,0,NA,95,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,0,0,0,NA
17,1000726,1,1,1,0,1,1,0,0,0,0,0,1,0,0,0,1,1,7,2,6,0,5,3,0,0,0,0,0,3,0,0,0,7,7,6,1,6,NA,7,5,NA,NA,NA,NA,NA,5,NA,NA,NA,6,6,0,0,0,0,0,7500,0,0,0,0,0,3000,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1 3,1,0,1,0,NA,75,NA,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,1,0,NA,80,NA,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1 4,1,0,0,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
18,1001812,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,5,3,0,0,0,0,0,0,0,0,0,0,0,0,0,4,7,5,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,5,25000,15000,0,0,0,0,0,0,0,0,0,0,0,0,0,10000,2400,3,0,0,1,0,NA,NA,NA,100,NA,2,0,1,0,0,NA,NA,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,0,0,1,0,NA,NA,NA,100,NA,3,0,0,1,0,NA,NA,NA,100,NA,4,0,0,0,1,0,0,NA,1,1,0,0,0,0,0,NA,6,0,0,0,0,0,1,None,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,1,0,0,NA,0,0,0,1,0,0,NA
19,3000857,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,7,2,7,0,0,0,0,0,0,0,0,0,0,0,0,5,7,6,1,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,0,0,1,0,NA,NA,NA,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,0,0,0,NA
20,3000854,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,7,0,7,0,0,0,0,0,0,0,0,0,0,0,0,4,7,6,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,0,0,1,0,NA,NA,NA,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,0,0,0,NA
21,3000856,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,7,0,7,0,0,0,0,0,0,0,0,0,0,0,0,4,7,6,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,0,0,1,0,NA,NA,NA,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,0,0,0,NA
22,3000855,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,7,0,7,2,3,0,0,0,0,0,0,0,0,0,0,3,7,6,NA,6,4,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,0,0,1,0,NA,NA,NA,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,1,0,0,NA
