uhhidfs,uhhidp,g2_1,g2_2,g2_3,g2_4,g2_5,g2_6,g2_7,g2_8,g2_9,g2_10,g2_11,g2_12,g2_13,g2_14,g2_15,g2_16,g2_17,g2_18
13,1000603,0,0,1,0,0,0,0,2,0,0,0,1,0,2,0,0,0,0
14,3001621,5,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,1,1
15,1002553,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,3000876,3,0,0,0,0,0,0,4,1,0,0,5,0,5,0,0,0,0
17,1000726,4,0,0,0,0,0,0,2,3,0,0,7,0,0,0,0,1,0
18,1001812,7,0,0,0,0,0,0,7,7,0,0,7,0,4,0,0,0,0
19,3000857,7,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
20,3000854,7,0,0,1,0,0,0,0,0,0,0,7,0,0,0,0,0,0
21,3000856,7,0,0,1,0,0,0,7,0,0,0,0,0,0,0,0,0,0
22,3000855,5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,3002493,3,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,3000598,7,0,0,1,0,0,0,7,0,0,0,5,0,0,0,0,0,0
25,3000597,7,0,0,0,0,0,0,7,0,0,0,7,0,0,0,0,0,0
26,3000596,7,0,0,2,0,0,0,7,0,0,0,7,0,0,0,0,0,0
27,3000594,6,0,0,2,0,0,0,7,0,0,0,0,0,0,0,0,0,0
28,3000595,7,0,0,1,0,0,0,7,0,0,0,0,0,0,0,0,0,0
29,3000592,7,0,0,2,0,0,0,7,7,0,0,0,0,0,0,0,0,0
30,3000505,0,0,0,2,0,0,0,7,7,0,0,0,0,0,0,0,0,0
31,3000852,7,0,0,0,0,0,0,7,7,0,0,7,0,0,0,0,0,0
32,3000512,7,0,0,2,0,2,0,7,7,0,0,7,0,0,0,0,0,0
33,3002852,7,0,0,2,0,0,0,7,7,0,0,7,0,0,0,0,0,0
34,1000730,7,0,0,2,0,0,0,7,7,0,0,0,0,0,0,0,0,0
35,1000627,7,0,0,2,0,0,0,0,0,0,0,7,0,0,0,0,0,0
36,1000724,7,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0
37,2000284,3,7,0,3,7,5,0,7,0,0,0,0,0,0,0,0,0,0
38,1001683,2,2,1,1,3,2,0,1,0,1,0,0,0,2,0,0,2,4
39,1000981,3,1,2,1,4,0,0,2,0,0,0,1,2,1,0,2,1,1
40,1000634,7,0,6,0,5,7,4,7,3,1,1,7,6,0,5,2,0,0
41,1000375,3,2,3,0,1,7,0,5,2,1,1,6,3,0,2,3,2,0
42,2000391,0,2,0,3,0,0,0,5,5,2,5,5,5,0,1,0,0,0
43,2000319,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
44,2000320,1,0,0,1,0,0,0,2,0,0,0,0,0,0,1,0,0,0
45,2000390,2,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
46,2000388,5,0,0,0,2,0,0,6,6,0,0,4,0,0,0,0,0,0
47,2000389,4,0,0,0,0,0,0,4,4,2,0,0,0,0,0,0,0,0
48,1000310,1,0,0,0,1,0,0,0,4,0,0,4,0,0,0,0,1,0
49,1000990,7,0,0,0,0,1,0,0,0,0,2,4,1,0,0,0,0,0
50,2000599,2,3,7,1,4,0,0,1,0,0,1,7,0,0,0,0,0,0
51,2000386,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
52,2000387,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
53,2000321,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
54,2000607,0,0,0,0,1,2,0,2,0,0,1,0,0,0,0,0,0,0
55,2000463,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
56,2000462,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
57,2000473,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
58,1000341,3,0,2,0,0,0,1,2,3,0,1,3,1,2,0,2,0,2
59,1000374,6,0,1,0,1,0,0,2,1,0,0,2,0,0,0,0,1,2
60,2000480,7,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0
61,2000384,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62,2000385,7,0,0,0,0,0,0,3,2,0,0,0,0,0,0,0,3,0
63,2000348,3,3,2,4,3,4,0,3,2,2,1,3,2,0,0,1,0,4
64,2000346,7,4,4,0,7,7,0,7,7,0,2,0,3,0,0,0,0,7
65,2000213,2,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0
66,2000214,6,5,4,0,5,0,0,6,6,0,0,6,0,0,0,0,0,4
67,3001051,3,2,1,1,0,0,0,1,2,1,0,1,3,0,0,0,0,0
68,3001052,3,1,2,1,0,0,0,3,1,0,2,3,0,0,0,0,0,0
