uhhidfs,uhhid,j1,j10,j11,j12,j13,j14,j15,j16,j17,j18,j19,j110,j111,j112,j113,j114,j115,j1_other,j2_1,j2_2,j2_3,j2_4,j2_5,j2_6,j2_7,j2_8,j2_9,j2_10,j2_11,j2_12,j2_13,j2_14
13,1000603,1 5,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,NA,3,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA
14,3001621,1 5,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,NA,3,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA
15,10002553,2 6 5 12 1,0,1,1,0,0,1,1,0,0,0,0,0,1,0,0,0,NA,3,3,NA,NA,3,2,NA,NA,NA,NA,NA,2,NA,NA
16,3000897,1 5,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,NA,3,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA
17,1000726,1 5,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,NA,3,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA
18,1001812,2 5 6 8 9 12,0,0,1,0,0,1,1,0,1,1,0,0,1,0,0,0,NA,NA,2,NA,NA,3,3,NA,3,3,NA,NA,3,NA,NA
19,3000857,5 6 9 14,0,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0,NA,NA,NA,NA,NA,3,3,NA,NA,3,NA,NA,NA,NA,2
20,3000854,2 5 1 8,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,NA,3,3,NA,NA,3,NA,NA,3,NA,NA,NA,NA,NA,NA
21,3000856,5 9 11 12,0,0,0,0,0,1,0,0,0,1,0,1,1,0,0,0,NA,NA,NA,NA,NA,4,NA,NA,NA,3,NA,3,3,NA,NA
22,3000855,2 5 11,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,NA,NA,3,NA,NA,3,NA,NA,NA,NA,NA,4,NA,NA,NA
23,3002493,2 5 9 11 12,0,0,1,0,0,1,0,0,0,1,0,1,1,0,0,0,NA,NA,3,NA,NA,2,NA,NA,NA,3,NA,3,2,NA,NA
24,3000598,1 5 8 9 2,0,1,1,0,0,1,0,0,1,1,0,0,0,0,0,0,NA,2,2,NA,NA,3,NA,NA,3,2,NA,NA,NA,NA,NA
25,3000597,5 8 11,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,NA,NA,NA,NA,NA,4,NA,NA,4,NA,NA,3,NA,NA,NA
