uhhidfs,uhhidp,s1,s2,s3,s4,s5,s6,s7,s8
13,1000603,2,2,2,2,2,0,2,2
14,3001621,2,2,2,2,2,0,2,2
15,1002553,1,2,2,2,2,0,1,1
16,3000876,2,2,3,3,2,0,2,3
17,1000726,2,3,3,3,2,O,2,3
18,1001812,3,3,4,3,3,The security situation here is fragile. Assailants sneek into the country from southern Sudan to perform killings. So I'm sceptic.,3,3
19,3000857,2,2,2,3,3,Not applicable,2,2
20,3000854,3,3,2,3,3,Not applicable,3,2
21,3000856,2,3,1,3,3,Not applicable,2,1
22,3000855,2,2,2,3,3,Not applicable,2,2
23,3002493,2,2,1,2,2,Not applicable,2,1
24,3000598,2,2,2,3,3,Not applicable,2,2
25,3000597,2,2,3,2,2,Not applicable,2,2
26,3000596,2,2,2,3,3,Not applicable,2,2
27,3000594,2,2,2,3,3,Not applicable,2,2
28,3000595,1,2,2,2,2,Not applicable,2,1
29,3000592,1,2,1,3,3,Not applicable,2,1
30,3000505,2,2,3,2,2,Not applicable,2,2
31,3000852,2,2,2,3,2,Not applicable,2,2
32,3000512,2,2,2,2,2,Not applicable,2,2
33,3002852,2,2,1,2,1,None,2,1
34,1000730,1,2,2,3,2,Not applicable,2,1
35,1000627,2,2,2,3,2,Not applicable,2,2
36,1000724,2,3,2,3,3,Not applicable,2,2
37,2000284,1,1,1,1,1,999,2,2
38,1001683,3,2,2,3,3,None,3,2
39,1000981,1,2,2,3,2,0,2,1
40,1000634,1,3,3,3,3,999,3,2
41,1000375,2,3,3,3,3,999,2,2
42,2000391,2,2,2,4,4,They are very far away from my home,1,1
43,2000319,998,2,2,3,1,999,3,1
44,2000320,3,1,1,1,1,999,1,1
45,2000390,2,2,2,2,3,999,2,1
46,2000388,2,2,2,2,1,999,2,1
47,2000389,1,1,1,1,1,999,1,1
48,1000310,1,1,2,1,1,0,1,1
49,1000990,1,1,1,1,1,0,1,1
50,2000599,3,2,3,2,3,9999,1,1
51,2000386,3,2,2,2,2,999,1,1
52,2000387,999,2,998,2,4,He has just started leaving in this area so do not know many people,998,1
53,2000321,3,2,2,2,2,9999,1,1
54,2000607,3,2,2,3,2,999,3,1
55,2000463,2,2,2,2,2,999,2,2
56,2000462,2,2,2,2,3,999,2,2
57,2000473,2,2,4,3,1,999,2,1
58,1000341,1,1,1,2,1,not applicable,1,1
59,1000374,3,2,2,3,2,not applicable,3,1
60,2000480,3,2,2,2,3,999,2,1
61,2000384,3,2,2,2,3,999,2,3
62,2000385,2,2,2,2,3,999,3,1
63,2000348,1,2,2,1,2,999,3,1
64,2000346,2,2,2,3,2,999,3,1
65,2000213,1,1,1,2,1,None,1,1
66,2000214,1,1,1,1,1,0,1,1
67,3001051,2,2,3,2,2,999,2,1
68,3001052,3,2,3,3,3,None,2,1
69,3001053,3,2,3,3,3,None,2,1
70,3001049,2,2,1,2,3,999,2,1
71,3001015,3,2,2,4,1,999,3,1
72,3001014,998,1,1,999,998,999,2,1
73,3001016,3,2,1,2,2,999,1,1
74,3001050,3,3,4,4,2,999,1,1
75,1001993,3,2,2,4,3,999,1,1
76,3000937,3,2,4,2,3,999,2,1
77,3000938,3,2,3,2,2,999,2,1
78,3000941,3,2,3,2,2,999,1,1
79,3000104,1,2,2,3,3,999,2,2
80,1001923,1,1,2,3,2,999,2,2
81,1001924,1,1,1,1,2,999,2,1
82,3000067,3,1,1,1,4,They call them only when they have harvests.,1,1
83,3000068,3,1,1,1,1,Buying and selling,1,1
84,3000232,1,1,2,2,2,999,2,1
85,3000230,1,1,2,2,2,999,1,2
86,3000231,2,1,2,2,2,999,2,2
87,1002237,2,2,2,4,2,0,2,1
88,1002279,3,2,2,3,2,999,2,1
89,1000162,1,2,2,2,2,999,3,1
90,3000095,2,2,3,3,3,999,2,2
91,3000093,2,1,3,3,3,999,2,2
92,3001064,2,2,3,3,2,999,3,1
93,3001065,2,2,4,3,5,No money for starting the business,2,1
94,3001026,2,2,4,4,3,999,3,1
95,3000336,1,2,3,2,1,0,2,1
96,3000337,1,2,1,1,1,99,1,1
97,3000340,1,2,1,2,1,999,2,1
98,3000339,2,2,3,2,1,999,2,1
99,3000338,1,2,3,3,3,0,2,1
100,3000334,2,1,1,3,3,999,2,1
101,3000063,1,1,2,1,1,999,1,1
102,3000319,1,1,2,1,2,999,1,1
103,3000066,1,2,2,2,2,999,1,1
104,3000064,1,1,1,1,1,999,1,1
105,3000065,1,1,1,1,2,999,1,1
106,3000326,1,1,1,1,1,999,1,1
107,3000325,1,1,2,1,1,999,3,1
108,3000321,2,1,3,2,1,O,1,1
109,3000323,2,2,1,3,1,O,3,1
110,3000322,1,1,1,2,1,O,2,1
111,3000324,1,2,1,1,1,O,2,1
112,3000320,1,1,1,1,1,O,1,1
113,3000332,1,2,4,2,2,Because everyone is busy with their farmwork,2,1
114,3000330,1,1,2,2,2,"NA",1,1
115,3000329,2,2,2,2,2,"NA",2,2
116,3000327,3,2,2,2,2,"NA",2,2
117,3000328,2,2,2,2,2,"NA",2,1
118,4000118,1,1,3,3,3,0,3,1
119,4000119,1,2,2,3,3,999,3,1
120,4000120,1,1,2,3,3,999,3,1
121,4000121,1,2,2,1,1,999,3,1
122,4000122,1,2,1,2,2,999,2,2
123,4000123,4,4,4,4,2,999,3,3
124,4000124,3,2,2,2,3,999,3,2
125,4000125,4,4,4,4,4,Poor relationship with them,4,3
126,4000126,2,2,2,2,2,999,2,1
127,4000127,4,4,3,4,3,999,3,3
128,4000128,1,2,2,2,2,None,2,1
129,4000129,2,2,2,2,2,None,2,2
130,4000130,1,2,2,2,2,None,2,2
131,4000131,2,2,1,3,2,None,2,3
132,4000132,2,2,3,5,4,999,3,1
133,4000133,1,2,3,2,2,999,1,1
134,4000134,1,1,1,2,3,999,1,1
135,4000135,1,1,1,2,2,999,2,1
136,3000070,1,1,1,1,2,None,1,1
137,3000071,1,1,1,1,5,I dont paticipate in business,1,1
